USERID,ORDERDATE,ORDERID,AMOUNTINFO
142074,2016-01-01,4196439032,9399
56927,2016-01-01,4198324983,8799
87058,2016-01-01,4191287379,6899
136104,2016-01-01,4198508313,5999
117831,2016-01-01,4202238313,5399
151069,2016-01-01,3888183440,4548
124094,2016-01-01,4175774836,4298
107268,2016-01-01,4192119481,4298
146768,2016-01-01,4192909363,3999
121834,2016-01-01,4197922462,3988
154068,2016-01-01,4191663914,3899
55156,2016-01-01,4193733866,3719
64562,2016-01-01,4194822758,3598
125593,2016-01-01,4196213552,3588
117760,2016-01-01,4175460346,3499
135673,2016-01-01,4197491569,3488
113584,2016-01-01,4182011436,3399
159480,2016-01-01,4191635389,3399
153742,2016-01-01,4202458687,3349
117957,2016-01-01,4195841311,3099
75849,2016-01-01,4197103430,
136767,2016-01-01,4033881096,2672
97925,2016-01-01,4197939746,2599
122326,2016-01-01,4201905174,2588
92480,2016-01-01,4197166986,2499
62330,2016-01-01,4191191184,2468
64655,2016-01-01,4192592185,2344
76294,2016-01-01,4136493270,2278
107527,2016-01-01,4193744860,2199
100323,2016-01-01,3925489681,2198
89435,2016-01-01,3881000307,2198
151826,2016-01-01,4192993873,2099
65315,2016-01-01,4179320958,1999
150505,2016-01-01,4192058594,1999
70555,2016-01-01,3805124565,1988
86102,2016-01-01,4191746669,1899
118357,2016-01-01,4196469613,1699
121566,2016-01-01,4197508017,1348
67800,2016-01-01,4189176807,1200
83610,2016-01-01,4202746015,1198
162424,2016-01-01,4199093714,1139
94579,2016-01-01,4195626781,1028
59009,2016-01-01,4199468462,999
96211,2016-01-01,4191211496,999
138800,2016-01-01,3767322038,998
140249,2016-01-01,4182012608,945
60051,2016-01-01,4201913229,939
102447,2016-01-01,3554296002,799
119972,2016-01-01,4197665777,799
128492,2016-01-01,4159029426,791
101702,2016-01-01,4191252529,666
149672,2016-01-01,4202472738,638
144178,2016-01-01,4135901830,539
68696,2016-01-01,4199773703,499
76814,2016-01-01,4203250207,499
114062,2016-01-01,4196447326,499
140523,2016-01-01,4194468293,399
71042,2016-01-01,4202102813,399
87761,2016-01-01,4190196783,369
120846,2016-01-01,4172755482,369
101625,2016-01-01,4084206268,359
158855,2016-01-01,4192179920,349
82539,2016-01-01,4190628159,339
140699,2016-01-01,4185174793,338
108549,2016-01-01,4200551598,299
108556,2016-01-01,4201338166,299
57113,2016-01-01,4191632315,279
94774,2016-01-01,4171595969,268
152996,2016-01-01,3841786689,199
67699,2016-01-01,4168782787,199
86124,2016-01-01,4203270246,199
64909,2016-01-01,4107321924,198
103714,,4136159682,189
162143,2016-01-01,4198064688,189
66091,2016-01-01,4192288308,179
116476,2016-01-01,4194367262,179
127314,2016-01-01,3561418297,165
96244,2016-01-01,4146603617,155
58154,2016-01-01,4198160677,149
119297,2016-01-01,4082590507,149
149222,2016-01-01,4195154695,138
146174,2016-01-01,3976446642,126
146809,2016-01-01,4175359306,119
69019,2016-01-01,4084146635,118
100772,2016-01-01,4191535488,115
114395,2016-01-01,3978413671,115
74651,2016-01-01,4199870258,109
136640,2016-01-01,4196725355,105
72109,2016-01-01,4187965846,99
135820,2016-01-01,3535568703,99
149708,2016-01-01,4190804929,99
127198,2016-01-01,4195178217,99
97053,2016-01-01,4194647897,99
96302,2016-01-01,4153947428,99
79929,2016-01-01,4117192697,89.9
117506,2016-01-01,4171941913,89
117537,2016-01-01,4198170040,78
132544,2016-01-01,4196596760,78
141745,2016-01-01,4200054039,75
64187,2016-01-01,4192525909,71
131460,2016-01-01,4197485016,69
159697,2016-01-01,4199597638,69
110002,2016-01-01,4190749466,69
98294,2016-01-01,4083978222,65.9
91267,2016-01-01,4201215001,65
134485,2016-01-01,4198151016,59
91669,2016-01-01,4192195125,59
95311,2016-01-01,4181578615,59
100596,2016-01-01,4171622551,59
102137,2016-01-01,4191254539,59
106932,2016-01-01,4172764453,59
117527,2016-01-01,4190009675,59
158589,2016-01-01,3632999787,59
121498,2016-01-01,4194472878,59
155209,2016-01-01,4177940815,
70290,2016-01-01,3786040409,59
89357,2016-01-01,4196240121,55
68431,2016-01-01,4192090752,49.9
53833,2016-01-01,4180341167,49.9
104653,2016-01-01,4202821226,49
118743,2016-01-01,3955920660,49
63477,2016-01-01,4019334931,49
81521,2016-01-01,4196085741,49
127091,2016-01-01,4191186487,49
81106,2016-01-01,4191144844,49
144345,2016-01-01,4154680126,49
87445,2016-01-01,4192590064,49
73550,2016-01-01,4109633080,48
125120,2016-01-01,4199481764,44.9
116450,2016-01-01,4191715185,44.9
121476,2016-01-01,4191625514,39.9
122462,2016-01-01,4194286220,39.9
143140,2016-01-01,4200170917,39.9
160349,2016-01-01,3981402332,39
126006,2016-01-01,4181840452,39
87634,2016-01-01,4201870241,39
53281,2016-01-01,4098064680,39
97993,2016-01-01,4192028073,39
164077,2016-01-01,3517237566,37
80935,2016-01-01,4203195428,35
113853,2016-01-01,4191395465,29.9
152287,2016-01-01,4186141391,29.8
151247,2016-01-01,4199885822,29.8
93630,2016-01-01,4200852461,29
113711,2016-01-01,4198977419,29
155796,2016-01-01,4190308387,29
104364,2016-01-01,4199435786,29
157114,2016-01-01,3955147573,29
135723,2016-01-01,3992305859,27.9
131566,2016-01-01,4203086537,26
74669,2016-01-01,4171660031,25.5
143247,2016-01-01,4197916826,25
53937,2016-01-01,4194373571,23
157599,2016-01-01,4193094881,21.9
72253,2016-01-01,4080095261,21.9
93090,2016-01-01,4179023397,21.6
64146,2016-01-01,4171965488,21.6
149040,2016-01-01,4192001731,19.9
88552,2016-01-01,4190801822,19.9
139975,2016-01-01,4200306443,19.9
139621,2016-01-01,4195084953,19.9
86519,2016-01-01,4190053584,19.9
54872,2016-01-01,3980171395,19.9
51647,2016-01-01,4154844646,16.9
119463,2016-01-01,4193575550,16.9
123776,2016-01-01,4167362296,16.9
57709,2016-01-01,4116037489,16.5
92343,2016-01-01,3906386793,16
